id;description;unit_price;quantity;unit;model;brand
1;Multi-channelled Licensed;61838;19967;Cambridgeshire Mississippi;HDD;Table Small Frozen Sausages Planner
2;envisioneer Music Public-key;24102;44015;Rubber Buckinghamshire Games;incentivize Tuna copy;Costa Rica Mayotte
3;Industrial;84228;77513;Markets Chief;capacitor archive;sky blue Tasty Plastic Pizza
4;compress South Georgia and the South Sandwich Islands;58675;35675;mission-critical Faroe Islands Plastic;Car Industrial deliverables;orange Books
5;magenta monitor 1080p;60595;7404;world-class Frozen IB;Highway Ergonomic;moratorium moratorium
6;New York tangible Mississippi;38292;11959;bus synthesize Idaho;Networked Sleek Metal Table Small;Intelligent Outdoors
7;Harbor Montana;69551;90756;Phased;Saint Lucia white;Generic neutral Salad
8;Auto Loan Account modular Refined;45653;80367;maroon;EXE projection Fresh;support Gorgeous
9;withdrawal;52;81801;SQL Games;Iraq Bedfordshire;Concrete 24/7 Directives
10;sky blue;55810;70301;robust Engineer;Exclusive Moroccan Dirham card;zero tolerance
